Name,Constituency,Age,Party Code,Criminal Cases,Number of Cases,Education Level,Total Assets,Total Liabilities,"PAN Given
(Y or N)"
Aslam Ramzanali Shaikh in Maharashtra 2019,MALAD WEST,50,INC,Yes,7,8th Pass,"11,36,18,422
~ 11 Crore+","41,21,783
~ 41 Lacs+",Y
Aslam Shaikh in Maharashtra Election 2014,MALAD WEST,45,INC,Yes,2,8th Pass,"3,68,99,189
~ 3 Crore+","49,27,189
~ 49 Lacs+",Y
Aslam Shaikh in Maharashtra 2009,Malad West,41,INC,Yes,1,12th Pass,"46,25,972
~ 46 Lacs+","0
~",Y
Aslam Ramjan Ali Shaikh in Brihanmumbai Municipal Corporation 2007,(43-P/N) New Collectors Colony,37,INC,No,0,8th Pass,"42,76,000
~ 42 Lacs+","35,000
~ 35 Thou+",Y
