Name,Constituency,Age,Party Code,Criminal Cases,Number of Cases,Education Level,Total Assets,Total Liabilities,"PAN Given
(Y or N)"
Devendra Gangadharrao Fadnavis in Maharashtra 2019,NAGPUR SOUTH WEST,49,BJP,Yes,4,Graduate Professional,"8,71,21,376
~ 8 Crore+","62,00,000
~ 62 Lacs+",Y
Devendra Fadnavis in Maharashtra Election 2014,NAGPUR SOUTH WEST,44,BJP,Yes,22,Graduate Professional,"4,34,85,337
~ 4 Crore+","10,19,498
~ 10 Lacs+",Y
Devendra Gangadharrao Fadnavis in Maharashtra 2009,Nagpur South West,39,BJP,Yes,18,Graduate Professional,"1,98,78,402
~ 1 Crore+","0
~",Y
DEVENDRA GANGADHAR FADNVIS in Maharashtra 2004,NAGPUR WEST,34,BJP,Yes,9,Others,"1,52,36,000
~ 1 Crore+","10,48,200
~ 10 Lacs+",Y
