Name,Constituency,Age,Party Code,Criminal Cases,Number of Cases,Education Level,Total Assets,Total Liabilities,"PAN Given
(Y or N)"
Vijaykumar Krushnarao Gavit in Maharashtra 2019,NANDURBAR (ST),64,BJP,Yes,9,Post Graduate,"27,15,28,348
~ 27 Crore+","1,59,63,197
~ 1 Crore+",Y
Gavit Vijaykumar Krishnarao in Maharashtra Election 2014,NANDURBAR (ST),58,BJP,Yes,8,Post Graduate,"12,81,81,915
~ 12 Crore+","1,92,53,003
~ 1 Crore+",Y
VijayKumar Krushanrao Gavit in Maharashtra 2009,Nandurbar (ST),53,NCP,Yes,8,Post Graduate,"4,80,93,319
~ 4 Crore+","80,72,706
~ 80 Lacs+",Y
GAVIT VIJAYKUMAR KRISHNARAO in Maharashtra 2004,NANDURBAR (ST),49,NCP,No,0,Graduate Professional,"1,56,87,053
~ 1 Crore+","71,15,931
~ 71 Lacs+",Y
