Name,Constituency,Age,Party Code,Criminal Cases,Number of Cases,Education Level,Total Assets,Total Liabilities,"PAN Given
(Y or N)"
Kumar Uttamchand Ailani in Maharashtra 2019,ULHASNAGAR,62,BJP,Yes,2,10th Pass,"27,91,42,572
~ 27 Crore+","10,65,66,261
~ 10 Crore+",Y
Kumar Iylani in Maharashtra Election 2014,ULHASNAGAR,57,BJP,Yes,1,10th Pass,"15,53,15,639
~ 15 Crore+","5,23,48,912
~ 5 Crore+",Y
Kumar Uttamchand Ailani in Maharashtra 2009,Ulhasnagar,52,BJP,Yes,1,10th Pass,"6,33,83,056
~ 6 Crore+","1,45,94,227
~ 1 Crore+",Y
AILANI KUMAR UTTAMCHAND in Maharashtra 2004,ULHASNAGAR,47,BJP,Yes,1,10th Pass,"2,01,62,492
~ 2 Crore+","94,00,000
~ 94 Lacs+",Y
