Name,Constituency,Age,Party Code,Criminal Cases,Number of Cases,Education Level,Total Assets,Total Liabilities,"PAN Given
(Y or N)"
Eknath Sambhaji Shinde in Maharashtra 2019,KOPRI-PACHPAKHADI,55,SHS,Yes,18,10th Pass,"11,56,12,466
~ 11 Crore+","3,74,60,261
~ 3 Crore+",Y
Eknath Sambhaji Shinde in Maharashtra Election 2014,KOPRI-PACHPAKHADI,50,SHS,Yes,20,10th Pass,"7,51,57,741
~ 7 Crore+","1,63,93,977
~ 1 Crore+",Y
Eknath Sambhaji Shinde in Maharashtra 2009,Kopri- Panchpakhadi,45,SHS,Yes,25,10th Pass,"1,11,13,856
~ 1 Crore+","16,29,863
~ 16 Lacs+",Y
EKNATH SHINDE in Maharashtra 2004,THANE,40,SHS,No,0,10th Pass,"20,05,200
~ 20 Lacs+","0
~",Y
