Name,Constituency,Age,Party Code,Criminal Cases,Number of Cases,Education Level,Total Assets,Total Liabilities,"PAN Given
(Y or N)"
Adv. K. C. Padavi in Lok Sabha 2019,NANDURBAR,61,INC,No,0,Post Graduate,"4,52,36,068
~ 4 Crore+","32,37,933
~ 32 Lacs+",Y
Adv. K. C. Padavi in Maharashtra 2019,AKKALKUWA (ST),61,INC,No,0,Post Graduate,"4,38,74,032
~ 4 Crore+","48,31,142
~ 48 Lacs+",Y
Padavi Adv. K.c. in Maharashtra Election 2014,AKKALKUWA (ST),57,INC,No,0,Post Graduate,"1,69,99,124
~ 1 Crore+","4,69,200
~ 4 Lacs+",Y
Advt. K.C. Padavi in Maharashtra 2009,Akkalkuwa (ST),49,INC,No,0,Graduate Professional,"20,97,132
~ 20 Lacs+","0
~",Y
