Name,Constituency,Age,Party Code,Criminal Cases,Number of Cases,Education Level,Total Assets,Total Liabilities,"PAN Given
(Y or N)"
Rajeshbhaiyya Tope in Maharashtra 2019,GANSAVANGI,50,NCP,No,0,Graduate Professional,"53,98,88,316
~ 53 Crore+","14,34,74,046
~ 14 Crore+",Y
Rajeshbhaiyya Tope in Maharashtra Election 2014,GANSAVANGI,45,NCP,No,0,Graduate Professional,"28,04,96,865
~ 28 Crore+","5,75,32,829
~ 5 Crore+",Y
Rajeshbhayya Tope in Maharashtra 2009,Ghansawangi,40,NCP,No,0,Graduate Professional,"4,00,49,925
~ 4 Crore+","3,44,446
~ 3 Lacs+",Y
RAJESHBHAIYYA TOPE in Maharashtra 2004,AMBAD,35,NCP,No,0,Graduate,"1,36,31,359
~ 1 Crore+","0
~",Y
