Name,Constituency,Age,Party Code,Criminal Cases,Number of Cases,Education Level,Total Assets,Total Liabilities,"PAN Given
(Y or N)"
Dilip Dattatray Walse-Patil in Maharashtra 2019,AMBEGAON,63,NCP,Yes,1,Post Graduate,"5,66,67,949
~ 5 Crore+","1,13,28,144
~ 1 Crore+",Y
Dilip Dattatray Walse Patil in Maharashtra Election 2014,AMBEGAON,58,NCP,Yes,4,Post Graduate,"3,87,08,246
~ 3 Crore+","50,40,593
~ 50 Lacs+",Y
Diliprao Dattatray Walse Patil in Maharashtra 2009,Ambegaon,53,NCP,No,0,Post Graduate,"1,48,57,340
~ 1 Crore+","0
~",Y
DILIPRAO DATTATRAY WALSE-PATIL in Maharashtra 2004,AMBEGAON,48,NCP,No,0,Post Graduate,"74,86,966
~ 74 Lacs+","3,64,290
~ 3 Lacs+",Y
