Name,Constituency,Age,Party Code,Criminal Cases,Number of Cases,Education Level,Total Assets,Total Liabilities,"PAN Given
(Y or N)"
Anil Bhaidas Patil in Maharashtra 2019,AMALNER,51,NCP,Yes,4,Post Graduate,"5,86,64,332
~ 5 Crore+","90,28,916
~ 90 Lacs+",Y
Anil Bhaidas Patil (amalner) in Maharashtra Election 2014,AMALNER,46,BJP,No,0,Graduate,"6,43,89,045
~ 6 Crore+","14,23,88,350
~ 14 Crore+",Y
Anil Bhaidas Patil in Maharashtra 2009,Amalner,41,BJP,Yes,4,Graduate,"1,32,82,183
~ 1 Crore+","19,65,88,259
~ 19 Crore+",Y
Krushibhushan Sahebrao Patil in Maharashtra 2009,Amalner,62,IND,No,0,Literate,"92,000
~ 92 Thou+","0
~",Y
